PRISM,GDSC
BRD-K22588750,293
BRD-A67862938,1062
BRD-K50071428,193
BRD-K13302470,255
BRD-K84466663,119
BRD-K34533029,166
BRD-K25596805,147
BRD-A16997652,1038
BRD-K35687421,202
BRD-K83508485,37
BRD-K25690923,1133
BRD-K11071038,136
BRD-K84091759,35
BRD-K18849474,86
BRD-K61036791,34
BRD-K82181219,170
BRD-K49840922,1069
BRD-K70821460,156
BRD-K46862739,71
BRD-K31468676,207
BRD-K99107520,88
BRD-K04196797,185
BRD-K75478907,180
BRD-K34251960,1053
BRD-K55675242,1066
BRD-K15766189,165
BRD-K45252063,52
BRD-K02900412,63
BRD-K26657438,186
BRD-K97101532,1023
BRD-A80017228,172
BRD-U45393375,17
BRD-K61295575,1058
BRD-K88568253,59
BRD-A71725768,163
BRD-A12994259,94
BRD-K07359318,1042
BRD-K70246307,127
BRD-K11590034,89
BRD-A75919782,106
BRD-K21152241,1129
BRD-K78086729,6
BRD-K13050303,1067
BRD-K44993696,199
BRD-A67516570,64
BRD-K23952234,1029
BRD-K04552268,111
BRD-K16505263,1072
BRD-K63712959,192
BRD-A59303141,1009
BRD-A28329383,104
BRD-K21565985,1039
BRD-K72231366,1043
BRD-A17846016,110
BRD-K57927309,91
BRD-A91452556,
BRD-A34751532,
BRD-K04430056,
BRD-K37793595,
BRD-K00077635,
BRD-K45033733,
BRD-K43457670,
BRD-K75037734,
BRD-K47049295,
BRD-K49071277,
BRD-K39160765,
BRD-K19796430,
BRD-K89391146,
BRD-A43082461,
BRD-K91543828,
BRD-K79555887,
BRD-K21547160,
BRD-K33818169,
BRD-K56483981,
BRD-A11551002,
BRD-K19615002,
BRD-K63828191,
BRD-K60369935,
BRD-K79684402,
BRD-K47978074,
BRD-K75466013,
BRD-K44067360,
BRD-K88789588,
BRD-A19585813,
BRD-A03216249,
BRD-K59632282,
BRD-K06234293,
BRD-K93754473,
BRD-K15916496,
BRD-A91733352,
BRD-K25837718,
BRD-K42756753,
BRD-K74227499,
BRD-K53123955,
BRD-A60197193,
BRD-K67173685,
BRD-A26503646,
BRD-K26634012,
BRD-K32405725,
BRD-K19085898,
BRD-A14240607,
BRD-K05445342,
BRD-K18898553,
BRD-K63123526,
BRD-K52020312,
BRD-A03623303,
BRD-A25234499,
BRD-K70177501,
BRD-A95886749,
BRD-K38458514,
BRD-K84798689,
BRD-K73391359,
BRD-K46585355,
BRD-K60866521,
BRD-K27771035,
BRD-K38197229,
BRD-K35629949,
BRD-K33127281,
BRD-K51474575,
BRD-A57382968,
BRD-K88172511,
BRD-K09132007,
BRD-A23127772,
BRD-K76011241,
BRD-K92872987,
BRD-K96424892,
BRD-K28143534,
BRD-A90272038,
BRD-M80207679,
BRD-K71847383,
BRD-K35952844,
BRD-K66715657,
BRD-K27351809,
BRD-K51662849,
BRD-K36467523,
BRD-K76037122,
BRD-K40992116,
BRD-K39467894,
BRD-K59058747,
BRD-A24514565,
BRD-A93695607,
BRD-K68103045,
BRD-K54094468,
BRD-K64785675,
BRD-K19388745,
BRD-K22822991,
BRD-K26824830,
BRD-K44827188,
BRD-K08703257,
BRD-K56851771,
BRD-K43860855,
BRD-K14880289,
BRD-K59929863,
BRD-A24587114,
BRD-A22081593,
BRD-K49555808,
BRD-K08791496,
BRD-K97752965,
BRD-K91614056,
BRD-K52172416,
BRD-K42495768,
BRD-A57833392,
BRD-K15519488,
BRD-K59574735,
BRD-K04264130,
BRD-K23566484,
BRD-K51471001,
BRD-K13533483,
BRD-A14886633,
BRD-K92073408,
BRD-A30582499,
BRD-K28307902,
BRD-A20644369,
BRD-K83022601,
BRD-K55966568,
BRD-K34332569,
BRD-K84663978,
BRD-K50388907,
BRD-K28453807,
BRD-K68095457,
BRD-K14329163,
BRD-K30990140,
BRD-K77245796,
BRD-A67097164,
BRD-A13561534,
BRD-K83003151,
BRD-K64381438,
BRD-K09602097,
BRD-K73319509,
BRD-K56751279,
BRD-A95696066,
BRD-K58299615,
BRD-K52756523,
BRD-K52662033,
BRD-A00077618,
BRD-A46813902,
BRD-K84011460,
BRD-K51143828,
BRD-M29182745,
BRD-A58564983,
BRD-U25960968,
BRD-K47635719,
BRD-A98990573,
BRD-K59647213,
BRD-K48195801,
BRD-K11640013,
BRD-K14175878,
BRD-K16803204,
BRD-K21937671,
BRD-K48826825,
BRD-A74765037,
BRD-K48141473,
BRD-K53972329,
BRD-K32107296,
BRD-K01109406,
BRD-K97472745,
BRD-K90574421,
BRD-K48195008,
BRD-K90948141,
BRD-K86204871,
BRD-K85872723,
BRD-K96188950,
BRD-K40797222,
BRD-K76719364,
BRD-K76210423,
BRD-A17883755,
BRD-K86972824,
BRD-K65377893,
BRD-K66911501,
BRD-K36711084,
BRD-K90027121,
BRD-A81129465,
BRD-A39390670,
BRD-K95926480,
BRD-K80129304,
BRD-A68083442,
BRD-K84810405,
BRD-K85090592,
BRD-K50850824,
BRD-K85406984,
BRD-K26619122,
BRD-A43809092,
BRD-K10784860,
BRD-K62810658,
BRD-K00673382,
BRD-K69195780,
BRD-K18613660,
BRD-A47706533,
BRD-K15025317,
BRD-K61192372,
BRD-K81839095,
BRD-K42973005,
BRD-K47557313,
BRD-K97440753,
BRD-K92723993,
BRD-A20239487,
BRD-K25433859,
BRD-K33425534,
BRD-A64064900,
BRD-K98157055,
BRD-K00615600,
BRD-K26305185,
BRD-K66241279,
BRD-K13249881,
BRD-K73589491,
BRD-K45446451,
BRD-A64743628,
BRD-M97302542,
BRD-K18375018,
BRD-K33588785,
BRD-K30519779,
BRD-K18574842,
BRD-K59197931,
BRD-K65781196,
BRD-A72703248,
BRD-A29485665,
BRD-K35240538,
BRD-K73303757,
BRD-A27883417,
BRD-K35520305,
BRD-K82846253,
BRD-K51199656,
BRD-K39624409,
BRD-K62398570,
BRD-A55962179,
BRD-A83937277,
BRD-K00662280,
BRD-K17472821,
BRD-A91831168,
BRD-K99616396,
BRD-K88807631,
BRD-K67977190,
BRD-K34411947,
BRD-K66808046,
BRD-K36234266,
BRD-K49759007,
BRD-K55044200,
BRD-A36456202,
BRD-K49456274,
BRD-K87036601,
BRD-K31812033,
BRD-K62391742,
BRD-A24397426,
BRD-A31521121,
BRD-K21782625,
BRD-K62213621,
BRD-K39381259,
BRD-K99749624,
BRD-K87990216,
BRD-K62607865,
BRD-K41141507,
BRD-A73556557,
BRD-K68567222,
BRD-A03932035,
BRD-K92441787,
BRD-K07220430,
BRD-K42938903,
BRD-K95573441,
BRD-K89490285,
BRD-K01653460,
BRD-K17068645,
BRD-A31095847,
BRD-K66030860,
BRD-K54838207,
BRD-K49027941,
BRD-K78126613,
BRD-K84892605,
BRD-K14003026,
BRD-A43885598,
BRD-A06352418,
BRD-K57284066,
BRD-K53720352,
BRD-K93441486,
BRD-A99888680,
BRD-K24048528,
BRD-K36739687,
BRD-K82928892,
BRD-A00758722,
BRD-K74141488,
BRD-K22520627,
BRD-A85667082,
BRD-K01295354,
BRD-A74208568,
BRD-K21283037,
BRD-A09722536,
BRD-K04622161,
BRD-K42205652,
BRD-K60237333,
BRD-K96344439,
BRD-K03384561,
BRD-A60594020,
BRD-K37249724,
BRD-K15071410,
BRD-K99879819,
BRD-K18163608,
BRD-K09900591,
BRD-K54847683,
BRD-K12932420,
BRD-K67298865,
BRD-K34851558,
BRD-K18910433,
BRD-K18779551,
